Hennie,Hannenhalli,F,701,163-9973,ROSS,ND,58776,S,Y,30000,2.1034775,3300,0,3300,492.213735
Hennie,Hannenhalli,F,701,163-9973,ROSS,ND,58776,S,Y,30000,2.1034775,3300,0,3300,492.213735
Jianjian,Jokiniemi,M,802,698-3590,BURLINGTON,VT,5401,M,Y,60000,4.1988535,0,6600,3300,2103.625604
Jianjian,Jokiniemi,M,802,698-3590,BURLINGTON,VT,5401,M,Y,60000,4.1988535,0,6600,3300,2103.625604
Rene,Beke,F,801,619-2334,CORNISH,UT,84308,M,Y,25000,7.0,0,4950,2475,1230.25
Rene,Beke,F,801,619-2334,CORNISH,UT,84308,M,Y,25000,7.0,0,4950,2475,1230.25
Mansour,Tawfik,M,419,466-1171,CLEVELAND,OH,44111,S,Y,20000,1.2099231,1300,0,1300,210.5266194
Mansour,Tawfik,M,419,466-1171,CLEVELAND,OH,44111,S,Y,20000,1.2099231,1300,0,1300,210.5266194
Dushyanth,Khetawat,F,417,131-3931,REPUBLIC,MO,65738,S,Y,40000,6.0,2100,0,1200,2202.0
Dushyanth,Khetawat,F,417,131-3931,REPUBLIC,MO,65738,S,Y,40000,6.0,2100,0,1200,2202.0
Byoung,Claire,F,347,721-3742,NEW YORK,NY,10268,S,Y,100000,4.5329266,0,0,1000,4487.597334
Byoung,Claire,F,347,721-3742,NEW YORK,NY,10268,S,Y,100000,4.5329266,0,0,1000,4487.597334
Elben,Goullioud,F,731,666-7840,FLINTVILLE,TN,37335,S,N,5000,0.0,0,0,0,0.0
Elben,Goullioud,F,731,666-7840,FLINTVILLE,TN,37335,S,N,5000,0.0,0,0,0,0.0
Yuichiro,Uckun,F,808,605-9466,MOUNTAIN VIEW,HI,96771,S,N,75000,8.25,1040,0,0,6101.7
Yuichiro,Uckun,F,808,605-9466,MOUNTAIN VIEW,HI,96771,S,N,75000,8.25,1040,0,0,6101.7
PerOlof,Motwani,F,980,848-4643,POTECASI,NC,27867,S,Y,100000,7.8304195,3300,0,3300,7313.611813
PerOlof,Motwani,F,980,848-4643,POTECASI,NC,27867,S,Y,100000,7.8304195,3300,0,3300,7313.611813
Eduardus,Deineko,M,402,865-6591,BELVIDERE,NE,68315,M,Y,60000,6.84,0,206,103,4082.8644
Eduardus,Deineko,M,402,865-6591,BELVIDERE,NE,68315,M,Y,60000,6.84,0,206,103,4082.8644
Eser,Duparc,F,303,587-2027,CARR,CO,80612,S,N,15000,4.63,0,0,0,694.5
Eser,Duparc,F,303,587-2027,CARR,CO,80612,S,N,15000,4.63,0,0,0,694.5
Johnathan,Zullighoven,F,907,889-8447,KASILOF,AK,99610,S,N,70000,0.0,0,0,0,0.0
Johnathan,Zullighoven,F,907,889-8447,KASILOF,AK,99610,S,N,70000,0.0,0,0,0,0.0
Jianxi,Comyn,F,808,404-9902,NAALEHU,HI,96772,M,Y,35000,7.3486843,0,2080,1040,2342.760555
